stopPointRef,no_of_buses
NSR:Quay:5119,574
NSR:Quay:104075,370
14452775,890
NSR:Quay:76691,489
NSR:Quay:2931,198
NSR:Quay:92840,198
NSR:Quay:70621,866
NSR:Quay:84118,202
NSR:Quay:81239,200
NSR:Quay:74586,331
NSR:Quay:87686,360
NSR:Quay:3530,204
NSR:Quay:27502,943
NSR:Quay:85534,516
NSR:Quay:52287,357
NSR:Quay:15874,332
NSR:Quay:68575,477
NSR:Quay:84742,181
NSR:Quay:5123,840
NSR:Quay:37133,728
NSR:Quay:16322,199
NSR:Quay:25356,1110
NSR:Quay:17075,171
NSR:Quay:57202,401
NSR:Quay:78081,424
NSR:Quay:44508,304
NSR:Quay:64653,158
NSR:Quay:93513,384
14437200,99
14011868,45
NSR:Quay:89489,307
NSR:Quay:96354,455
NSR:Quay:15858,476
NSR:Quay:43007,115
NSR:Quay:8163,184
NSR:Quay:27446,272
NSR:Quay:69093,124
NSR:Quay:107177,147
NSR:Quay:83093,964
NSR:Quay:29294,572
NSR:Quay:83479,168
NSR:Quay:32921,78
NSR:Quay:103978,598
NSR:Quay:25833,381
NSR:Quay:82878,183
NSR:Quay:66967,115
NSR:Quay:13897,171
NSR:Quay:81658,402
NSR:Quay:23164,27
NSR:Quay:31671,158
NSR:Quay:37339,412
NSR:Quay:21828,361
NSR:Quay:83396,249
NSR:Quay:44750,385
NSR:Quay:58989,118
14496964,241
NSR:Quay:41721,196
NSR:Quay:83712,497
NSR:Quay:72464,214
NSR:Quay:104816,66
NSR:Quay:14102,175
12389612,14
NSR:Quay:105323,267
NSR:Quay:74420,179
NSR:Quay:97853,106
NSR:Quay:78867,243
NSR:Quay:94335,554
NSR:Quay:97911,207
NSR:Quay:2580,175
NSR:Quay:66567,209
NSR:Quay:25511,520
NSR:Quay:107464,60
NSR:Quay:59095,25
NSR:Quay:25843,190
NSR:Quay:109568,139
NSR:Quay:86736,133
NSR:Quay:100566,64
NSR:Quay:86715,99
NSR:Quay:94208,250
NSR:Quay:85601,92
NSR:Quay:36847,197
NSR:Quay:79075,82
NSR:Quay:109115,166
NSR:Quay:77576,173
NSR:Quay:81918,156
NSR:Quay:62540,68
NSR:Quay:74943,105
NSR:Quay:104999,63
NSR:Quay:85714,51
NSR:Quay:87881,282
NSR:Quay:87173,15
NSR:Quay:83605,83
NSR:Quay:87184,84
NSR:Quay:21482,28
NSR:Quay:81857,93
NSR:Quay:20144,21
NSR:Quay:109725,25
NSR:Quay:63142,42
NSR:Quay:59458,27
NSR:Quay:81466,20
NSR:Quay:79598,41
17312,30
NSR:Quay:104314,5
NSR:Quay:70024,10
NSR:Quay:53614,4340
NSR:Quay:37303,6879
NSR:Quay:39687,16427
NSR:Quay:48663,22872
NSR:Quay:46004,41629
NSR:Quay:27631,19825
NSR:Quay:27268,2457
NSR:Quay:23527,6791
NSR:Quay:94224,18634
NSR:Quay:84246,691
NSR:Quay:74055,7512
NSR:Quay:71095,3328
NSR:Quay:56793,1111
NSR:Quay:68048,1103
NSR:Quay:107994,8432
NSR:Quay:87483,249
NSR:Quay:85664,4602
NSR:Quay:84624,1211
NSR:Quay:81222,27546
NSR:Quay:82419,1416
NSR:Quay:96811,640
NSR:Quay:9443,21984
NSR:Quay:7632,26128
NSR:Quay:70058,27841
NSR:Quay:8679,15237
NSR:Quay:12109,77612
NSR:Quay:4335,1006
NSR:Quay:26287,17504
NSR:Quay:11844,107165
NSR:Quay:1106,14409
NSR:Quay:355,10831
NSR:Quay:80697,948
NSR:Quay:51770,11866
NSR:Quay:93069,691
NSR:Quay:9249,33957
NSR:Quay:73356,13877
NSR:Quay:9551,19021
NSR:Quay:32936,9338
NSR:Quay:31212,9510
NSR:Quay:72800,34285
NSR:Quay:39195,11821
NSR:Quay:49929,3275
NSR:Quay:22522,6403
NSR:Quay:101424,4977
NSR:Quay:7546,10573
NSR:Quay:11704,92034
NSR:Quay:103980,3502
NSR:Quay:88352,21576
NSR:Quay:37647,5211
NSR:Quay:96325,430
NSR:Quay:95109,4975
NSR:Quay:86121,1425
NSR:Quay:73359,1354
NSR:Quay:71784,17595
NSR:Quay:74179,8648
NSR:Quay:55771,33465
NSR:Quay:51327,13548
NSR:Quay:41878,4269
NSR:Quay:71821,73520
NSR:Quay:65995,704
NSR:Quay:53841,9392
NSR:Quay:39675,15823
NSR:Quay:39505,7478
NSR:Quay:46041,41688
NSR:Quay:11445,57135
NSR:Quay:56418,6215
NSR:Quay:108617,976
NSR:Quay:26316,4430
NSR:Quay:30057,3910
NSR:Quay:51261,55602
NSR:Quay:11573,57544
14194946,1742
NSR:Quay:53902,104790
NSR:Quay:31163,637
NSR:Quay:53888,87317
NSR:Quay:102567,9255
NSR:Quay:68301,9559
NSR:Quay:8587,33336
NSR:Quay:110165,18346
NSR:Quay:105760,24300
NSR:Quay:5839,8497
14133248,1679
NSR:Quay:7539,101637
NSR:Quay:7846,16351
NSR:Quay:11110,6244
NSR:Quay:8093,74752
NSR:Quay:5993,20204
14011919,8715
NSR:Quay:36361,18278
NSR:Quay:34400,1303
NSR:Quay:76271,16013
NSR:Quay:55570,12711
NSR:Quay:30907,7299
NSR:Quay:7827,38684
NSR:Quay:77622,10943
NSR:Quay:8487,26575
NSR:Quay:11189,19191
NSR:Quay:7885,23178
NSR:Quay:10927,21598
NSR:Quay:29082,24576
NSR:Quay:17665,4247
NSR:Quay:49930,11530
NSR:Quay:82552,4991
NSR:Quay:37114,5577
NSR:Quay:50218,6113
NSR:Quay:71033,3564
NSR:Quay:33273,9521
NSR:Quay:71543,15882
NSR:Quay:58426,4205
NSR:Quay:47186,2681
NSR:Quay:51725,6324
NSR:Quay:57126,4151
NSR:Quay:91469,533
14322230,3639
NSR:Quay:10802,629
NSR:Quay:50901,1004
14181288,2601
NSR:Quay:81750,1019
NSR:Quay:53004,1976
NSR:Quay:45066,17216
NSR:Quay:5543,14086
NSR:Quay:53177,4820
NSR:Quay:46357,11714
NSR:Quay:2487,2070
NSR:Quay:46225,9161
NSR:Quay:23561,6472
NSR:Quay:97885,4489
NSR:Quay:12787,1553
NSR:Quay:24735,1648
NSR:Quay:68283,1741
NSR:Quay:30311,7897
NSR:Quay:50294,7196
14322314,567
NSR:Quay:6572,19568
NSR:Quay:51482,8448
NSR:Quay:50931,6477
NSR:Quay:47838,34985
NSR:Quay:104599,5851
NSR:Quay:43798,724
NSR:Quay:31087,5057
NSR:Quay:39407,4577
NSR:Quay:30829,1023
NSR:Quay:6344,16282
NSR:Quay:40158,2128
NSR:Quay:74100,564
14114664,3370
NSR:Quay:38787,8665
NSR:Quay:38406,3388
NSR:Quay:71541,4444
NSR:Quay:42618,4662
NSR:Quay:41201,4385
NSR:Quay:51295,3664
NSR:Quay:56952,2355
NSR:Quay:54227,3533
NSR:Quay:48562,13297
NSR:Quay:16355,3992
NSR:Quay:24345,7560
NSR:Quay:31360,4813
NSR:Quay:3151,7700
NSR:Quay:6143,21494
NSR:Quay:46621,10841
NSR:Quay:89736,2091
NSR:Quay:9617,14236
NSR:Quay:83425,1568
NSR:Quay:54273,2749
NSR:Quay:25133,12682
NSR:Quay:35261,5703
NSR:Quay:46198,2035
NSR:Quay:12421,3858
NSR:Quay:106136,11091
NSR:Quay:102338,13176
NSR:Quay:66383,8783
NSR:Quay:70862,2959
NSR:Quay:2891,434
NSR:Quay:110050,3763
NSR:Quay:33820,158
NSR:Quay:35083,6905
NSR:Quay:18726,8486
NSR:Quay:37309,5704
NSR:Quay:65946,5332
NSR:Quay:65302,5544
NSR:Quay:56598,4387
NSR:Quay:49672,6872
NSR:Quay:50510,3750
NSR:Quay:4645,4826
NSR:Quay:96255,1595
NSR:Quay:45281,18331
14012125,1482
NSR:Quay:102425,14021
14302465,4149
NSR:Quay:23897,6500
NSR:Quay:5669,8088
NSR:Quay:73877,1225
NSR:Quay:42800,2016
NSR:Quay:103279,556
NSR:Quay:44149,5389
14322257,3878
NSR:Quay:92678,2046
NSR:Quay:77540,367
NSR:Quay:58103,648
NSR:Quay:22075,1576
NSR:Quay:22492,6353
NSR:Quay:57935,1130
NSR:Quay:26976,7557
NSR:Quay:64410,745
NSR:Quay:30669,8851
NSR:Quay:13405,349
NSR:Quay:55716,2009
NSR:Quay:79171,547
NSR:Quay:36680,1398
NSR:Quay:3520,1068
NSR:Quay:38382,1255
NSR:Quay:10957,7519
NSR:Quay:49866,11332
NSR:Quay:85798,1369
NSR:Quay:101201,1320
NSR:Quay:53903,2708
NSR:Quay:23661,7122
NSR:Quay:51869,8290
NSR:Quay:53592,2100
NSR:Quay:70332,8645
NSR:Quay:31031,812
NSR:Quay:78466,479
NSR:Quay:57791,1246
NSR:Quay:19042,4989
NSR:Quay:285,1277
NSR:Quay:52191,2250
NSR:Quay:54645,13134
NSR:Quay:50705,1658
NSR:Quay:54468,1604
NSR:Quay:93650,1575
NSR:Quay:3789,7216
NSR:Quay:57813,2683
NSR:Quay:7512,9462
NSR:Quay:57100,580
NSR:Quay:50761,1721
NSR:Quay:80970,208
NSR:Quay:78620,805
NSR:Quay:57961,688
NSR:Quay:12716,18353
NSR:Quay:45369,10727
NSR:Quay:47713,581
NSR:Quay:26902,4256
NSR:Quay:56111,3249
NSR:Quay:2148,608
NSR:Quay:89029,378
NSR:Quay:54977,1786
NSR:Quay:6188,7385
NSR:Quay:73435,1521
NSR:Quay:103519,658
NSR:Quay:39878,9381
NSR:Quay:69369,3094
NSR:Quay:96931,493
NSR:Quay:70932,379
NSR:Quay:67763,1589
NSR:Quay:17757,6178
NSR:Quay:36446,141
NSR:Quay:92772,576
NSR:Quay:2452,1744
NSR:Quay:76588,583
NSR:Quay:74511,5181
14322367,7219
NSR:Quay:34796,6093
NSR:Quay:40038,3876
NSR:Quay:93192,1716
NSR:Quay:73083,1953
14397567,2393
NSR:Quay:14203,180
NSR:Quay:952,5041
NSR:Quay:39990,1896
NSR:Quay:104985,2613
NSR:Quay:40654,1305
NSR:Quay:36090,3392
NSR:Quay:39169,1857
NSR:Quay:54545,1156
NSR:Quay:27488,776
NSR:Quay:38616,5859
NSR:Quay:68621,4472
NSR:Quay:83670,314
NSR:Quay:26255,4397
NSR:Quay:30454,1442
NSR:Quay:98070,12900
NSR:Quay:106459,1116
NSR:Quay:57030,384
NSR:Quay:94300,679
NSR:Quay:66637,2566
NSR:Quay:37035,974
NSR:Quay:97529,615
NSR:Quay:76709,701
NSR:Quay:34208,971
NSR:Quay:16956,182
NSR:Quay:104067,1752
NSR:Quay:2875,3327
NSR:Quay:97237,195
NSR:Quay:67766,4285
NSR:Quay:21348,629
NSR:Quay:54496,1532
NSR:Quay:88331,1120
NSR:Quay:68217,1180
NSR:Quay:39586,4894
NSR:Quay:48145,609
NSR:Quay:102549,1331
NSR:Quay:87235,1453
NSR:Quay:5751,6264
NSR:Quay:14017,1576
NSR:Quay:2593,616
NSR:Quay:90244,1218
NSR:Quay:9309,863
NSR:Quay:97750,3698
NSR:Quay:13800,458
14452874,480
NSR:Quay:19987,38
NSR:Quay:49073,1987
NSR:Quay:14199,476
NSR:Quay:21020,540
NSR:Quay:97259,1023
NSR:Quay:94244,1955
NSR:Quay:1722,2579
NSR:Quay:17093,239
NSR:Quay:51006,886
NSR:Quay:66040,4547
NSR:Quay:56987,960
14291604,2678
NSR:Quay:57930,1217
NSR:Quay:43238,589
NSR:Quay:28566,12662
NSR:Quay:106194,744
NSR:Quay:12488,382
NSR:Quay:41002,4202
NSR:Quay:17607,1102
NSR:Quay:50730,1661
NSR:Quay:76044,383
NSR:Quay:94255,1481
NSR:Quay:90433,733
NSR:Quay:29075,1385
NSR:Quay:98365,3242
NSR:Quay:61569,340
NSR:Quay:86562,362
NSR:Quay:100319,523
NSR:Quay:89125,1352
NSR:Quay:37079,1150
NSR:Quay:97042,1003
NSR:Quay:18989,183
NSR:Quay:77888,1179
NSR:Quay:27552,675
NSR:Quay:106376,476
NSR:Quay:102033,1880
14012104,452
NSR:Quay:78990,1434
NSR:Quay:75311,848
NSR:Quay:30473,9298
NSR:Quay:42279,1470
NSR:Quay:90025,193
NSR:Quay:57700,800
NSR:Quay:75715,802
NSR:Quay:96294,591
NSR:Quay:97188,1131
NSR:Quay:42970,4663
NSR:Quay:25708,920
NSR:Quay:245,2287
NSR:Quay:39898,688
NSR:Quay:22314,1245
NSR:Quay:93222,358
NSR:Quay:20027,845
NSR:Quay:21199,293
NSR:Quay:20907,543
NSR:Quay:22862,827
NSR:Quay:58396,1096
NSR:Quay:103394,198
NSR:Quay:78854,1125
14322450,1246
NSR:Quay:103246,612
NSR:Quay:58231,2317
NSR:Quay:101023,924
NSR:Quay:37558,1106
NSR:Quay:102488,466
NSR:Quay:13102,4905
0621104401,168
NSR:Quay:6914,676
NSR:Quay:39047,1709
NSR:Quay:69434,1388
NSR:Quay:49026,388
NSR:Quay:32991,369
NSR:Quay:83876,414
NSR:Quay:81397,565
NSR:Quay:38292,571
NSR:Quay:81501,82
NSR:Quay:88232,856
NSR:Quay:107148,416
NSR:Quay:58166,1047
NSR:Quay:12944,1335
NSR:Quay:30438,1580
NSR:Quay:82870,164
NSR:Quay:68062,1404
NSR:Quay:85869,133
NSR:Quay:50395,1710
NSR:Quay:31091,175
NSR:Quay:38262,1897
NSR:Quay:38101,1593
NSR:Quay:86897,1226
NSR:Quay:38984,892
NSR:Quay:16660,362
NSR:Quay:18156,1080
NSR:Quay:106446,815
NSR:Quay:78462,833
NSR:Quay:50925,4155
NSR:Quay:8277,8913
NSR:Quay:37051,829
NSR:Quay:26733,1953
NSR:Quay:13545,784
NSR:Quay:28944,839
NSR:Quay:103358,545
NSR:Quay:93598,951
NSR:Quay:5290,723
NSR:Quay:8522,297
NSR:Quay:21780,544
NSR:Quay:103497,2746
NSR:Quay:50882,1021
NSR:Quay:82134,619
NSR:Quay:14704,1725
NSR:Quay:104123,1570
NSR:Quay:4978,1302
NSR:Quay:70456,272
NSR:Quay:40872,1077
NSR:Quay:107973,43
NSR:Quay:35197,366
NSR:Quay:81370,314
NSR:Quay:35794,1314
NSR:Quay:42870,573
NSR:Quay:77664,3245
NSR:Quay:38123,1379
NSR:Quay:94135,1549
NSR:Quay:2984,584
NSR:Quay:97076,1215
NSR:Quay:103138,1353
NSR:Quay:101632,166
NSR:Quay:19932,1697
NSR:Quay:94529,384
NSR:Quay:33958,795
NSR:Quay:1452,390
NSR:Quay:3368,796
NSR:Quay:59334,217
NSR:Quay:93774,332
NSR:Quay:85779,536
NSR:Quay:15332,995
NSR:Quay:76807,625
NSR:Quay:15551,630
NSR:Quay:1572,572
NSR:Quay:93704,343
NSR:Quay:1467,535
NSR:Quay:85018,436
NSR:Quay:90507,1024
NSR:Quay:1621,2486
NSR:Quay:41715,532
NSR:Quay:46080,2319
NSR:Quay:37147,653
NSR:Quay:68670,625
NSR:Quay:38272,573
NSR:Quay:81226,518
NSR:Quay:84612,279
NSR:Quay:58720,1020
NSR:Quay:70048,484
NSR:Quay:33546,269
NSR:Quay:29204,815
NSR:Quay:36401,513
NSR:Quay:89060,613
NSR:Quay:40960,1824
15040108,1212
NSR:Quay:9608,373
NSR:Quay:28804,1340
NSR:Quay:50454,1779
NSR:Quay:94152,1004
NSR:Quay:96440,378
NSR:Quay:71559,1461
NSR:Quay:105982,455
NSR:Quay:98288,866
NSR:Quay:78674,540
NSR:Quay:57108,584
NSR:Quay:25288,650
NSR:Quay:805,2324
NSR:Quay:104577,292
NSR:Quay:50991,1702
NSR:Quay:104683,181
NSR:Quay:66031,921
NSR:Quay:90419,255
NSR:Quay:25417,891
14114545,2372
NSR:Quay:28872,382
14011933,782
NSR:Quay:71717,173
NSR:Quay:86122,323
NSR:Quay:67059,954
NSR:Quay:39161,2000
NSR:Quay:23483,855
NSR:Quay:49773,1479
NSR:Quay:3660,308
NSR:Quay:86098,410
NSR:Quay:58312,548
NSR:Quay:15329,630
NSR:Quay:3509,1071
14163269,1123
NSR:Quay:29166,382
NSR:Quay:109208,150
NSR:Quay:84879,166
NSR:Quay:92824,1102
NSR:Quay:71023,169
NSR:Quay:36615,278
NSR:Quay:23026,533
NSR:Quay:22480,370
NSR:Quay:87091,518
NSR:Quay:21503,185
NSR:Quay:25828,381
NSR:Quay:78192,311
NSR:Quay:23621,1549
NSR:Quay:97147,415
NSR:Quay:36298,180
NSR:Quay:26267,424
NSR:Quay:20911,540
NSR:Quay:16836,727
NSR:Quay:87025,783
NSR:Quay:80216,355
NSR:Quay:84397,511
NSR:Quay:84063,326
NSR:Quay:24904,1074
NSR:Quay:40211,692
NSR:Quay:27007,823
NSR:Quay:30821,158
NSR:Quay:21856,663
NSR:Quay:1326,611
NSR:Quay:97226,506
NSR:Quay:35665,975
NSR:Quay:48733,835
NSR:Quay:91586,1004
NSR:Quay:18305,353
NSR:Quay:13185,1205
NSR:Quay:55582,649
NSR:Quay:36209,733
NSR:Quay:76543,582
NSR:Quay:47284,378
NSR:Quay:68066,707
NSR:Quay:55572,253
14011949,379
NSR:Quay:4784,207
NSR:Quay:2055,939
NSR:Quay:21740,409
NSR:Quay:103494,778
NSR:Quay:76782,571
NSR:Quay:110486,331
NSR:Quay:17479,286
NSR:Quay:76594,158
NSR:Quay:25593,639
NSR:Quay:6609,415
NSR:Quay:79880,353
NSR:Quay:19022,680
NSR:Quay:104296,195
14313558,493
NSR:Quay:91762,436
NSR:Quay:32266,405
NSR:Quay:43023,602
NSR:Quay:82150,495
NSR:Quay:95606,346
NSR:Quay:27174,2322
NSR:Quay:18258,671
NSR:Quay:41145,458
NSR:Quay:4695,562
NSR:Quay:62105,49
NSR:Quay:14323,296
NSR:Quay:77873,183
NSR:Quay:21624,613
NSR:Quay:71067,893
NSR:Quay:92414,250
NSR:Quay:80519,593
NSR:Quay:105989,489
NSR:Quay:37041,226
NSR:Quay:19884,452
NSR:Quay:73998,603
NSR:Quay:20849,521
NSR:Quay:56273,443
NSR:Quay:75860,402
NSR:Quay:77584,429
NSR:Quay:34770,164
NSR:Quay:46805,370
0612978002,272
NSR:Quay:76281,123
14437271,569
NSR:Quay:19050,364
NSR:Quay:22131,185
NSR:Quay:106614,318
NSR:Quay:94253,346
NSR:Quay:84403,596
NSR:Quay:100542,298
NSR:Quay:30685,166
NSR:Quay:94556,150
NSR:Quay:42108,332
NSR:Quay:82329,255
NSR:Quay:21679,334
NSR:Quay:20988,543
NSR:Quay:72269,338
NSR:Quay:24080,723
NSR:Quay:1082,673
NSR:Quay:86991,168
NSR:Quay:33005,183
NSR:Quay:37775,291
NSR:Quay:13864,715
NSR:Quay:3873,346
NSR:Quay:37589,306
NSR:Quay:99938,151
NSR:Quay:83590,166
17086,316
NSR:Quay:45436,251
NSR:Quay:25665,447
NSR:Quay:20031,184
NSR:Quay:78456,182
NSR:Quay:97139,254
NSR:Quay:66785,418
NSR:Quay:107635,333
NSR:Quay:71582,184
NSR:Quay:16377,158
NSR:Quay:41311,305
NSR:Quay:14894,318
14291727,294
14397548,380
NSR:Quay:105149,330
NSR:Quay:71199,608
14381408,100
NSR:Quay:73613,207
NSR:Quay:7057,190
NSR:Quay:68205,384
NSR:Quay:101820,173
NSR:Quay:33326,147
NSR:Quay:25460,323
NSR:Quay:66291,164
NSR:Quay:87744,302
NSR:Quay:68624,228
NSR:Quay:14322,158
NSR:Quay:16958,85
NSR:Quay:69623,167
NSR:Quay:35378,336
NSR:Quay:68124,162
NSR:Quay:103101,97
NSR:Quay:80662,149
NSR:Quay:79038,81
NSR:Quay:35827,79
NSR:Quay:62255,30
NSR:Quay:108059,8
NSR:Quay:48936,6
NSR:Quay:100879,14
NSR:Quay:273,2
NSR:Quay:102401,3
NSR:Quay:101669,37360
NSR:Quay:7382,1076
NSR:Quay:37394,17438
NSR:Quay:9938,3723
NSR:Quay:94941,15202
NSR:Quay:90852,26640
NSR:Quay:81317,710
NSR:Quay:5265,1025
NSR:Quay:39524,28370
NSR:Quay:47688,13255
NSR:Quay:47837,82027
NSR:Quay:2238,34562
NSR:Quay:48301,79758
NSR:Quay:40669,4902
NSR:Quay:92938,2320
NSR:Quay:33870,10004
NSR:Quay:37762,9906
NSR:Quay:10441,39203
NSR:Quay:57607,2467
NSR:Quay:90057,576
NSR:Quay:28595,39701
NSR:Quay:33486,6734
NSR:Quay:24477,707
NSR:Quay:7349,157422
NSR:Quay:9873,14579
NSR:Quay:12243,29764
NSR:Quay:57394,2649
NSR:Quay:16962,1594
NSR:Quay:86898,2374
NSR:Quay:86968,362
NSR:Quay:11713,150149
NSR:Quay:28000,19298
NSR:Quay:56929,3990
NSR:Quay:3070,845
NSR:Quay:66575,39941
NSR:Quay:12323,61032
NSR:Quay:11124,96367
NSR:Quay:7311,177890
NSR:Quay:69544,28330
NSR:Quay:68142,291
NSR:Quay:21232,450
NSR:Quay:23877,5654
NSR:Quay:46024,13188
NSR:Quay:43132,17160
NSR:Quay:9592,19020
NSR:Quay:8879,26499
NSR:Quay:24910,13238
NSR:Quay:19655,2916
NSR:Quay:108711,5363
NSR:Quay:87052,509
NSR:Quay:90559,1179
NSR:Quay:89197,3457
NSR:Quay:6505,21035
NSR:Quay:7197,24822
NSR:Quay:98051,12907
NSR:Quay:4395,5272
NSR:Quay:48561,11925
NSR:Quay:47140,6015
NSR:Quay:4730,7544
NSR:Quay:53307,28423
NSR:Quay:55468,12070
NSR:Quay:53064,1131
NSR:Quay:5844,20671
NSR:Quay:56488,2168
NSR:Quay:55094,33691
NSR:Quay:51848,27881
NSR:Quay:73565,23615
NSR:Quay:104055,33624
NSR:Quay:11514,63562
NSR:Quay:106445,708
NSR:Quay:51979,1409
NSR:Quay:34790,8181
NSR:Quay:42780,2310
NSR:Quay:31543,10045
NSR:Quay:100043,5401
NSR:Quay:37373,7401
NSR:Quay:90832,8052
NSR:Quay:30432,45611
NSR:Quay:47084,18889
NSR:Quay:51484,18247
NSR:Quay:51853,55248
NSR:Quay:56733,3776
NSR:Quay:92649,1120
NSR:Quay:37075,6161
NSR:Quay:23548,29737
NSR:Quay:3769,7205
14281189,1252
NSR:Quay:31066,10021
NSR:Quay:26696,2110
NSR:Quay:73666,27631
NSR:Quay:24189,7142
NSR:Quay:108476,419
NSR:Quay:44734,417
NSR:Quay:11004,17787
NSR:Quay:613,6426
NSR:Quay:11317,27562
NSR:Quay:12158,20843
NSR:Quay:46924,4706
NSR:Quay:7048,21368
NSR:Quay:73990,27065
NSR:Quay:74659,23616
NSR:Quay:49636,43864
NSR:Quay:54665,26110
NSR:Quay:38393,5402
NSR:Quay:37897,5170
NSR:Quay:6077,24855
NSR:Quay:55688,12492
NSR:Quay:54679,13696
NSR:Quay:9275,22100
NSR:Quay:22287,6234
NSR:Quay:94922,3765
NSR:Quay:12043,57143
NSR:Quay:57062,9912
NSR:Quay:55711,6875
NSR:Quay:21960,6179
NSR:Quay:102166,14764
NSR:Quay:48809,9255
NSR:Quay:90739,6593
NSR:Quay:45283,31213
NSR:Quay:12161,7989
NSR:Quay:10452,8491
NSR:Quay:76127,562
NSR:Quay:46086,37810
NSR:Quay:11710,22321
NSR:Quay:8289,5556
NSR:Quay:30113,14695
NSR:Quay:30982,23442
NSR:Quay:55992,14518
NSR:Quay:33533,2710
NSR:Quay:54926,2424
NSR:Quay:36703,5941
NSR:Quay:50697,3801
NSR:Quay:40245,1338
NSR:Quay:51177,1893
NSR:Quay:50,4954
NSR:Quay:13439,780
NSR:Quay:45342,10186
NSR:Quay:52166,5120
NSR:Quay:87619,460
NSR:Quay:48636,12134
NSR:Quay:96207,7658
NSR:Quay:93372,1460
NSR:Quay:37635,6863
NSR:Quay:32983,8877
NSR:Quay:32939,6542
NSR:Quay:93418,1940
NSR:Quay:11117,54958
NSR:Quay:10575,32778
NSR:Quay:39592,4692
NSR:Quay:70691,1403
NSR:Quay:10121,35219
NSR:Quay:32902,8598
NSR:Quay:29647,25644
14322433,9205
NSR:Quay:83176,9168
NSR:Quay:17790,1262
NSR:Quay:54569,3756
NSR:Quay:5477,18201
NSR:Quay:40352,3654
NSR:Quay:49001,1081
NSR:Quay:52645,14797
NSR:Quay:9113,7818
NSR:Quay:8414,14577
NSR:Quay:19714,1699
NSR:Quay:22708,4114
NSR:Quay:42080,2078
NSR:Quay:28471,9397
NSR:Quay:46188,9397
NSR:Quay:78386,4558
NSR:Quay:10099,7433
NSR:Quay:11094,32918
NSR:Quay:96005,229
NSR:Quay:79256,5452
NSR:Quay:40697,9964
NSR:Quay:82334,2604
NSR:Quay:72071,22099
NSR:Quay:73,11838
NSR:Quay:71515,2042
NSR:Quay:27802,7239
NSR:Quay:36348,1340
NSR:Quay:46906,4380
NSR:Quay:10302,12220
NSR:Quay:20482,2220
NSR:Quay:56739,917
NSR:Quay:22049,372
NSR:Quay:86940,369
NSR:Quay:53015,1650
NSR:Quay:86635,362
NSR:Quay:30783,6268
NSR:Quay:93805,7674
NSR:Quay:22707,3662
NSR:Quay:24860,1077
NSR:Quay:30121,7675
NSR:Quay:69898,652
NSR:Quay:78365,1138
NSR:Quay:26602,4129
NSR:Quay:57480,3512
NSR:Quay:102345,762
NSR:Quay:34039,12068
NSR:Quay:18781,771
NSR:Quay:2017,1263
NSR:Quay:53166,8025
NSR:Quay:68023,1035
NSR:Quay:66021,4978
NSR:Quay:20878,454
NSR:Quay:7321,903
NSR:Quay:94766,2879
NSR:Quay:96090,1075
NSR:Quay:14618,412
NSR:Quay:74308,1177
NSR:Quay:4461,5443
NSR:Quay:55875,3115
NSR:Quay:35871,1377
NSR:Quay:34888,1144
NSR:Quay:68280,893
NSR:Quay:74737,4643
NSR:Quay:56824,1108
NSR:Quay:109480,694
NSR:Quay:26318,13097
15040149,1220
NSR:Quay:28021,1426
NSR:Quay:7898,4598
NSR:Quay:87992,794
NSR:Quay:21858,2146
NSR:Quay:19910,907
NSR:Quay:35257,610
NSR:Quay:12639,1544
NSR:Quay:28099,1386
NSR:Quay:56915,3783
NSR:Quay:89703,2353
NSR:Quay:75013,2290
NSR:Quay:9653,13380
NSR:Quay:66536,1034
NSR:Quay:21203,781
NSR:Quay:3069,894
NSR:Quay:103667,2721
NSR:Quay:17040,455
NSR:Quay:9121,3208
NSR:Quay:88406,1724
NSR:Quay:67,2856
NSR:Quay:75921,744
NSR:Quay:15532,1079
NSR:Quay:27532,1246
NSR:Quay:46807,1172
NSR:Quay:71965,1744
NSR:Quay:37379,1156
NSR:Quay:68805,2175
NSR:Quay:98592,1735
14011819,2453
NSR:Quay:7238,377
NSR:Quay:79066,1231
NSR:Quay:29731,4862
NSR:Quay:20371,1673
NSR:Quay:5417,1687
NSR:Quay:37773,905
NSR:Quay:3965,707
NSR:Quay:47423,2898
NSR:Quay:27468,1284
NSR:Quay:36291,6157
NSR:Quay:14559,802
NSR:Quay:56957,3992
NSR:Quay:90598,2969
NSR:Quay:98155,987
NSR:Quay:26761,1294
NSR:Quay:75282,396
NSR:Quay:25839,381
NSR:Quay:55168,3649
NSR:Quay:92787,999
NSR:Quay:93388,433
NSR:Quay:2003,3600
NSR:Quay:88714,763
NSR:Quay:70889,2626
NSR:Quay:28736,1453
NSR:Quay:106377,1855
NSR:Quay:89665,5287
NSR:Quay:94852,974
NSR:Quay:29308,381
NSR:Quay:43613,1188
NSR:Quay:90453,568
NSR:Quay:36851,388
NSR:Quay:48483,13306
NSR:Quay:80006,927
NSR:Quay:66965,1893
NSR:Quay:20782,527
NSR:Quay:3090,622
NSR:Quay:14275,1339
NSR:Quay:91272,768
NSR:Quay:31026,494
NSR:Quay:36132,1340
NSR:Quay:75448,471
NSR:Quay:22009,546
NSR:Quay:85224,690
NSR:Quay:88701,995
NSR:Quay:42378,4653
NSR:Quay:45315,1719
NSR:Quay:104614,2560
NSR:Quay:29960,4147
NSR:Quay:17409,339
NSR:Quay:92795,576
NSR:Quay:13236,708
