id,roadSystemReferences,onlyPtLastYear,stopPointRef,stopCertainty,stopOnTrafficLink,stopAggregatesDirections,stopsServeDifferentBuses,comment,trikkestopp
0.0-1.0@2407992-WITH,FV4556 S1D1 m2965 KD3 m0-119,TRUE,NSR:Quay:48354,High,FALSE,,NA,"Jåsund ring nord, inn",NA
0.0-1.0@2210877-WITH,FV6664 S1D1 m4176 KD2 m0-119,TRUE,NSR:Quay:73036,,TRUE,,NA,"Strindheim, mot Lade",NA
0.0-1.0@2210876-WITH,RV706 S2D1 m5306 KD6 m0-153,TRUE,NSR:Quay:75657,Medium,FALSE,,NA,Gildheim. Tror det passerer busser her som ikke stopper.,NA
0.0-1.0@2210870-WITH,FV6664 S1D1 m4176 KD3 m0-113,TRUE,NSR:Quay:73038,,TRUE,,NA,"Strindheim, fra Lade",NA
0.0-1.0@2210835-WITH,RV706 S2D1 m5306 KD5 m0-152,TRUE,NSR:Quay:75658,Medium,FALSE,,NA,Gildheim. Tror det passerer busser her som ikke stopper.,NA
0.0-1.0@2544736-WITH,FV166 S1D1 m847 KD5 m0-240,TRUE,NSR:Quay:6442,High,FALSE,,NA,Fornebu,NA
0.0-0.52246074@1721649-WITH,EV18 S56D1 m7556 KD5 m0-92,TRUE,NSR:Quay:12312,Low,FALSE,,NA,Sør for Oslo. Det kan være busser som kjører her som ikke kjører innom stoppet litt lengre frem.,NA
0.0-0.4978117@805036-WITH,FV5216 S1D1 m2133 KD3 m0-102,TRUE,NSR:Quay:55121,High,FALSE,,NA,Storavatnet terminal. Trafikklenka er like før holdeplassen.,NA
0.0-0.56441969@2725986-WITH,FV440 S1D1 m1058 KD1 m0-331,TRUE,,,,,NA,Schancheholen brannstasjon. Helt umulig å se forbindelse til holdeplasser i nærheten.,NA
0.0-0.55925039@2535151-WITH,EV6 S16D1 m5438 KD1 m0-154,TRUE,,,,,NA,"Snarvei i Oslo. Det er holdeplasser før og etter, men ikke mulig å se om alle bussene kjører over denne lenka.",NA
