stopPointRef,no_of_buses
NSR:Quay:47231,85137
NSR:Quay:12853,7060
NSR:Quay:53503,54008
NSR:Quay:10649,2941
NSR:Quay:83731,702
NSR:Quay:54050,54767
NSR:Quay:9039,30434
NSR:Quay:105218,5875
NSR:Quay:88640,532
NSR:Quay:71316,70867
NSR:Quay:95111,27643
NSR:Quay:30075,7665
NSR:Quay:51856,54773
NSR:Quay:96835,722
NSR:Quay:11072,41170
NSR:Quay:94317,26514
NSR:Quay:4399,27814
NSR:Quay:81668,1792
NSR:Quay:54054,103043
NSR:Quay:61257,936
NSR:Quay:88200,1900
NSR:Quay:88358,8605
NSR:Quay:10652,54816
NSR:Quay:7176,66991
NSR:Quay:10045,88250
NSR:Quay:89936,805
NSR:Quay:46884,22490
NSR:Quay:23480,713
NSR:Quay:10212,23143
NSR:Quay:53347,44717
NSR:Quay:28853,8028
NSR:Quay:90611,67721
NSR:Quay:33781,1733
NSR:Quay:34077,9940
NSR:Quay:74604,44645
NSR:Quay:71639,6903
NSR:Quay:90946,18329
NSR:Quay:36000,158
NSR:Quay:4226,27793
NSR:Quay:89696,1373
NSR:Quay:88619,1737
NSR:Quay:5918,38237
14163313,5655
NSR:Quay:11286,34666
NSR:Quay:8443,5446
NSR:Quay:6689,14622
NSR:Quay:108889,1750
NSR:Quay:24140,26030
NSR:Quay:12444,62818
NSR:Quay:54830,65128
NSR:Quay:52942,2255
NSR:Quay:10971,26626
NSR:Quay:26532,4615
NSR:Quay:7469,10431
NSR:Quay:30245,16104
NSR:Quay:29924,13832
NSR:Quay:41809,18028
NSR:Quay:67265,8302
NSR:Quay:48827,13367
14302692,3472
NSR:Quay:22901,527
NSR:Quay:41235,333
NSR:Quay:8182,56272
NSR:Quay:8235,14367
NSR:Quay:6445,11083
NSR:Quay:71574,4419
NSR:Quay:44784,36762
NSR:Quay:40914,9776
NSR:Quay:83814,1802
NSR:Quay:16973,6021
NSR:Quay:16558,2257
NSR:Quay:20514,2399
NSR:Quay:15567,639
NSR:Quay:10962,8480
NSR:Quay:26218,3160
NSR:Quay:38434,1673
NSR:Quay:10404,12691
NSR:Quay:86485,1289
NSR:Quay:38496,11287
NSR:Quay:6932,1937
NSR:Quay:43699,4750
NSR:Quay:46450,36380
NSR:Quay:32312,9587
NSR:Quay:935,19297
NSR:Quay:32310,8563
NSR:Quay:51474,8835
NSR:Quay:39502,3825
NSR:Quay:43890,3657
NSR:Quay:30731,10076
NSR:Quay:73044,62293
NSR:Quay:35716,1024
NSR:Quay:14297,936
NSR:Quay:35395,6721
NSR:Quay:34406,8133
NSR:Quay:34978,1299
NSR:Quay:2837,5340
NSR:Quay:7119,21288
NSR:Quay:57609,3995
NSR:Quay:103249,4249
NSR:Quay:68003,2831
NSR:Quay:95603,12595
NSR:Quay:3429,11963
NSR:Quay:3412,2115
NSR:Quay:1430,7062
NSR:Quay:88897,8616
NSR:Quay:96324,1199
NSR:Quay:89843,651
NSR:Quay:51331,3931
NSR:Quay:12536,15574
NSR:Quay:106129,642
NSR:Quay:41956,4613
NSR:Quay:78988,1229
NSR:Quay:108246,4229
NSR:Quay:7569,7029
NSR:Quay:43502,29204
NSR:Quay:10110,13857
NSR:Quay:75451,21661
